"fsm_parent_id","description","state_id","province_id","distrito_id","id","country_id","name","code","create_uid","create_date","write_uid","write_date","state_id-2","province_id-2"
NULL,"Departamento","base.state_pe_01",NULL,NULL,1146,173,"Amazonas","01",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_02",NULL,NULL,1147,173,"Áncash","02",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_03",NULL,NULL,1148,173,"Apurímac","03",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_04",NULL,NULL,1149,173,"Arequipa","04",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_05",NULL,NULL,1150,173,"Ayacucho","05",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_06",NULL,NULL,1151,173,"Cajamarca","06",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_07",NULL,NULL,1152,173,"Callao","07",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_08",NULL,NULL,1153,173,"Cusco","08",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_09",NULL,NULL,1154,173,"Huancavelica","09",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_10",NULL,NULL,1155,173,"Huánuco","10",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_11",NULL,NULL,1156,173,"Ica","11",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_12",NULL,NULL,1157,173,"Junin","12",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
NULL,"Departamento","base.state_pe_13",NULL,NULL,1158,173,"La Libertad","13",1,"2022-02-09 15:39:50.875701",1,"2022-02-09 15:39:50.875701",NULL,NULL
